site	freq_A	freq_C	freq_G	freq_T	freq_gap
5	0.0000	0.9477	0.0000	0.0000	0.0523
33	0.3857	0.0000	0.0000	0.6133	0.0010
41	0.0000	0.6123	0.0000	0.3877	0.0000
45	0.0000	0.3883	0.6115	0.0000	0.0002
90	0.0000	0.0004	0.1751	0.8243	0.0002
152	0.0002	0.0000	0.2211	0.7783	0.0004
153	0.0002	0.2209	0.7787	0.0000	0.0002
186	0.2471	0.7527	0.0002	0.0000	0.0000
214	0.4117	0.0000	0.5831	0.0000	0.0052
216	0.5841	0.0008	0.4147	0.0000	0.0004
218	0.0008	0.5821	0.4167	0.0000	0.0004
229	0.0000	0.0000	0.5811	0.4185	0.0004
238	0.7445	0.2539	0.0002	0.0010	0.0004
239	0.0000	0.7449	0.0002	0.2549	0.0000
247	0.0000	0.0000	0.7378	0.2616	0.0006
258	0.5714	0.0000	0.4274	0.0000	0.0012
259	0.4268	0.0004	0.5728	0.0000	0.0000
268	0.1934	0.8052	0.0000	0.0004	0.0010
359	0.4402	0.0004	0.5581	0.0004	0.0010
385	0.0000	0.0000	0.4451	0.0000	0.5549
486	0.0000	0.5378	0.4588	0.0002	0.0032
502	0.2270	0.0002	0.0000	0.7724	0.0004
508	0.0000	0.6485	0.0002	0.3511	0.0002
511	0.7740	0.2252	0.0002	0.0004	0.0002
514	0.2258	0.0000	0.0000	0.7742	0.0000
515	0.7728	0.0000	0.0004	0.2268	0.0000
566	0.2211	0.0000	0.0000	0.7785	0.0004
589	0.6392	0.3606	0.0000	0.0002	0.0000
619	0.4149	0.0000	0.5851	0.0000	0.0000
646	0.8308	0.0000	0.0004	0.1688	0.0000
648	0.1674	0.0000	0.8314	0.0000	0.0012
676	0.1799	0.0000	0.0000	0.8199	0.0002
677	0.8197	0.0000	0.0000	0.1803	0.0000
724	0.0000	0.1831	0.8153	0.0002	0.0014
727	0.1817	0.8179	0.0000	0.0004	0.0000
885	0.0000	0.0028	0.5636	0.0000	0.4336
888	0.0000	0.4330	0.0002	0.5652	0.0016
894	0.4320	0.0010	0.5666	0.0002	0.0002
896	0.5662	0.0008	0.4322	0.0000	0.0008
1014	0.0000	0.0016	0.7388	0.2583	0.0014
1149	0.0000	0.8205	0.0004	0.1759	0.0032
1152	0.0002	0.6028	0.0000	0.3970	0.0000
1236	0.0000	0.5773	0.4189	0.0000	0.0038
1285	0.0000	0.5976	0.0000	0.3895	0.0129
